,Type,Repository,Repository City,Rep. Nat.,"Repository, City",,Lib_Latitude,Lib_Longitude,Shelfmark,Date_Start,Date_End,Date_Quality,Provenance,Prov_Latitude,Prov_Longitude,Length,Width,Number Pieces,Orientation,Complete?,Language_1,Language_2,Contents,Description,Bibliography,Editor Initials,Online Images,Online bib/record,
640,Mortuary Roll,A. D. Bouches-du-Rhône,Marseille,FR,"A. D. Bouches-du-Rhône, Marseille FR",,,,3 H 67,1181,1182,,"France, Baux",,,1130,18-22.5,3,,N,Latin,,Fragmentary mortuary roll of Betran I of Baux,19 opisthographic sheets in 3 fragments.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 2. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 149.",LBB,,,
87,Dramatic Parts,Aarganische Kantonsbibliothek,Aarau,DE,"Aarganische Kantonsbibliothek, Aarau DE",,,,MS MurF 31a,1250,1250,ca,Germany,,,200,20,6,V,,German,,Easter play of Muri,,"Bischoff, Bernhard. Latin Palaeography: Antiquity and the Middle Ages. Cambridge: Cambridge University Press, 1990, 32 n 106.;  Lalou, Elizabeth. “Les Rolets de Théâtre: Étude Codicologique.” In Actes Du 115e Congrès National Des Sociétés Savantes, Avignon, 1990, 51–71. Paris: Editions du CTHS, 1991.; Ranke, Friedrich, ed. Das Osterspiel von Muri, Nach Den Alten Und Neuen Fragmenten Herausgegeben. Aarau: H.R. Sauerlander, 1944.",,,http://www.e-codices.unifr.ch/fr/description/kba/MurF0031a,
193,GB Roy. Gen.,All Souls College Library,Oxford,GB,"All Souls College Library, Oxford GB",,,,MS 40,Unknown,Unknown,,Unknown Provenance,,,Unknown,Unknown,,,,Latin,,"Latin chronicle of kings of England, attributed to Roger Alban (or of St. Albans). Text is Lyell E.","Formerly scroll,now a codex.","De la Mare, Albinia Catherine. Catalogue of the Collection of Medieval Manuscripts Bequeathed to the Bodleian Library, Oxford by James P. R. Lyell. Oxford: Clarendon P., 1971. p. 84-85.",,,,
642,Mortuary Roll,Archiv der Erzabtei Sankt Peter,Salzburg,AT,"Archiv der Erzabtei Sankt Peter, Salzburg AT",,,,A 563/I,1503,1503,,"Austria, Salzburg",,,299.5,17.5,6,,Y,Latin,,"Mortuary roll of Virgil Pichler II, abbot of St. Peter of Salzburg.",Anopisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 420.",LBB,,,
641,Mortuary Roll,Archiv der Erzabtei Sankt Peter,Salzburg,AT,"Archiv der Erzabtei Sankt Peter, Salzburg AT",,,,A 563/II,1518,1521,,"Austria, Salzburg",,,306,"17.5, 18",4,,Y,Latin,,"Mortuary roll of Wolfgang Walcher, abbot of St. Peter of Salzburg.",Opisthographic,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 447.",LBB,,,
440,Mortuary Roll,Archiv der Erzabtei Sankt Peter,Salzburg,AT,"Archiv der Erzabtei Sankt Peter, Salzburg AT",,,,Unknown,1400,1500,,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,,,"Wattenbach, Wilhelm. Das schriftwesen im mittelalter. 3rd ed. Leipzig: S. Hirzel, 1896, 166.",,,,
643,Mortuary Roll,"Archiv Technisches Museum, Bestand Post- und Telegraphenmuseum",Vienna,AT,"Archiv Technisches Museum, Bestand Post- und Telegraphenmuseum, Vienna AT",,,,"Inv. no 391; I 227, 229, 230",1494,1496,,"Austria, Admont",,,1081.5,"15.5, 19.5",4,,N,Latin,,Fragmentary mortuary roll from Admont.,Opisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 393.",LBB,,,
89,Dramatic Parts,Archive départemental de Haute-Provence,Digne,FR,"Archive départemental de Haute-Provence, Digne FR",,,,C 852,1400,1500,,Unknown Provenance,,,29,9.5,,,N,Unknown Language,,Role of St. Simon,,"Lalou, Elizabeth. “Les Rolets de Théâtre: Étude Codicologique.” In Actes Du 115e Congrès National Des Sociétés Savantes, Avignon, 1990, 51–71. Paris: Editions du CTHS, 1991.",SDP,,,
92,Dramatic Parts,Archive départemental de Hautes-Alpes,Gap,FR,"Archive départemental de Hautes-Alpes, Gap FR",,,,E 299 bis,1400,1500,,Unknown Provenance,,,27,9.5,,,,Unknown Language,,"Role of ""minister"" in Mystery of St Andrew",Roll Codex,"Guillaume, Abbé. Mystère de Saint Eustache Joué En 1504. Montpellier, 1891, pp. 13-16.; Lalou, Elizabeth. “Les Rolets de Théâtre: Étude Codicologique.” In Actes Du 115e Congrès National Des Sociétés Savantes, Avignon, 1990, 51–71. Paris: Editions du CTHS, 1991, p.64-7.",SDP,,,
88,Dramatic Parts,Archive départementales de Savoie,Chambéry,FR,"Archive départemental de Savoie, Chambéry FR",,,,SN,1400,1500,,Unknown Provenance,,,8,14.5,,,,Unknown Language,,Role of Saint-Barbe,Roll Codex on paper,"Lalou, Elizabeth. “Les Rolets de Théâtre: Étude Codicologique.” In Actes Du 115e Congrès National Des Sociétés Savantes, Avignon, 1990, 51–71. Paris: Editions du CTHS, 1991.",SDP,,,
101,Dramatic Parts,Archives cantonales du Valais,Valais,CH,"Archives cantonales du Valais, Valais FR",,,,A.T.F.1 MS 3,1200,1300,,Unknown Provenance,,,25,13.5,,,N,Unknown Language,,Fragment of comic role,Parchment,"Aebischer, Paul. “Un Fragment de Rôle Comique Datant Du Début Du XIVe Siècle Retrouvé Dans Un Manuscrit Déposé Aux Archives Cantonales Du Valais À Sion.” Vallesia 22 (1967): 71–80.; Lalou, Elizabeth. “Les Rolets de Théâtre: Étude Codicologique.” In Actes Du 115e Congrès National Des Sociétés Savantes, Avignon, 1990, 51–71. Paris: Editions du CTHS, 1991.",,,,
